   4.8000000e+03   1.1258934e-01
   4.9000000e+03   1.1727294e-01
   5.9000000e+03   2.0629084e-01
   5.9250000e+03   2.0903222e-01
   5.9500000e+03   2.1135101e-01
   5.9750000e+03   2.1233484e-01
   6.0000000e+03   2.1248794e-01
   6.0250000e+03   2.1436319e-01
   6.0500000e+03   2.1391426e-01
   6.0750000e+03   2.1330713e-01
   6.1000000e+03   2.1261325e-01
   6.1250000e+03   2.1052943e-01
   6.1500000e+03   2.0814943e-01
   6.1800000e+03   2.0579112e-01
   6.2050000e+03   2.0352995e-01
   6.2300000e+03   2.0128098e-01
   6.2550000e+03   1.9869828e-01
   6.2800000e+03   1.9562200e-01
   6.3050000e+03   1.9296725e-01
   6.3300000e+03   1.9130796e-01
   6.3550000e+03   1.8860267e-01
   6.3800000e+03   1.8544783e-01
   1.2950000e+04   1.7099434e-01
   1.3200000e+04   1.6753006e-01
